DATE	00h	01h	02h	03h	04h	05h	06h	07h	08h	09h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	20h	21h	22h	23h	00h	01h	02h	03h	04h	05h	06h	07h	08h	09h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	20h	21h	22h	23h
29.03.2014	9	8	7	7	7	7	7	4	3	5	6	6	6	4	4	4	4	4	2	4	4	5	6	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
30.03.2014	5	3	2	2	2	2	2	3	2	2	3	3	2	1	1	1	1	1	1	1	3	3	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31.03.2014	1	2	1	1	1	1	2	3	3	5	7	7	8	8	11	11	11	10	10	9	7	7	8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
01.04.2014	7	7	4	4	7	7	7	5	6	8	7	7	7	6	7	7	6	6	7	9	11	11	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
02.04.2014	9	9	8	9	9	9	9	9	8	9	11	11	11	9	10	10	10	10	11	9	11	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
03.04.2014	12	8	7	7	7	8	1	4	1	1	1	3	4	2	5	7	7	8	11	12	15	14	13	13	-1	-1	1.6	1.5	1.1	0.3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
04.04.2014	13	12	13	13	12	12	12	11	11	11	11	12	12	10	11	11	12	12	13	12	13	13	13	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
05.04.2014	13	14	12	12	12	13	12	13	12	13	13	12	12	10	10	11	11	10	11	10	9	9	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2014	7	7	2	2	1	1	1	1	1	2	3	4	4	5	5	6	6	6	6	3	1	1	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
07.04.2014	6	3	6	8	9	8	9	5	7	8	9	9	9	8	8	8	8	9	8	3	4	6	7	7	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.2	-1	0.3	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
08.04.2014	8	5	6	8	10	10	11	8	7	9	10	11	11	12	15	17	18	18	16	14	14	14	14	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.3	2.4	0.2	-1	-1	-1	-1	-1	-1	
09.04.2014	16	14	17	17	16	15	12	13	14	17	20	19	18	13	13	15	14	12	13	14	16	16	14	13	-1	-1	-1	-1	0.1	0.2	0.6	-1	-1	-1	0.2	-1	-1	-1	0.2	0.6	1	1.7	0.8	-1	0.5	1	1.3	0.9	
10.04.2014	12	12	11	11	11	11	11	9	9	9	9	7	7	7	6	5	5	4	1	3	2	1	1	0	0.4	0.5	0.3	0.1	0.2	0.2	0.2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
11.04.2014	1	1	1	2	2	1	2	2	3	4	6	7	8	5	6	6	7	6	7	7	6	6	7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12.04.2014	2	2	0	0	0	0	0	1	2	3	4	4	5	4	5	6	6	5	6	2	2	2	4	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13.04.2014	7	5	6	7	7	7	6	5	7	8	13	14	14	14	13	12	13	13	12	8	8	10	7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
14.04.2014	8	8	7	7	9	10	10	7	10	12	13	14	14	11	12	15	16	14	15	12	12	12	13	13	-1	-1	-1	0.3	0.6	1.1	0.6	0.3	0.4	0.5	0.3	0.3	0.3	0.3	0.2	1.4	0.7	0.2	-1	-1	-1	-1	0.1	-1	
15.04.2014	13	11	11	11	11	10	10	10	10	10	10	12	11	13	14	15	15	15	13	11	12	12	12	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
16.04.2014	12	11	12	12	11	12	11	10	11	11	12	14	13	12	10	9	8	7	6	3	2	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
17.04.2014	1	3	3	3	5	5	4	4	4	6	6	6	6	5	8	9	10	10	10	10	11	12	13	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
18.04.2014	14	13	12	11	12	11	10	8	6	6	5	5	6	4	3	3	2	1	3	8	9	9	9	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
19.04.2014	10	8	10	11	12	12	11	10	10	10	10	11	13	12	13	14	14	14	14	13	14	13	12	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
20.04.2014	11	11	11	11	11	12	12	10	11	11	11	11	10	10	11	10	12	11	9	10	12	12	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.5	0.7	0.4	-1	-1	0.2	0.4	-1	
21.04.2014	10	10	9	9	9	8	8	8	8	8	8	9	10	10	10	10	10	9	9	10	10	10	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
22.04.2014	9	8	8	8	8	8	8	6	6	7	7	7	7	6	6	5	5	5	6	2	5	7	8	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.4	-1	-1	0.4	0.5	0.1	
23.04.2014	9	7	5	6	5	4	4	3	4	4	4	4	3	4	3	4	5	6	8	7	10	11	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	1.9	2	2.5	2.5	2.1	1.9	0.2	-1	
24.04.2014	9	8	6	5	4	5	5	4	5	6	8	8	8	7	9	10	11	11	12	10	11	12	11	11	-1	-1	0.3	1.3	0.8	0.4	0.2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
25.04.2014	10	9	9	9	10	10	10	9	9	10	10	11	11	9	10	10	11	10	11	8	8	9	10	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
26.04.2014	9	7	8	8	8	8	8	7	8	8	9	9	10	8	9	8	9	8	8	8	9	9	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
27.04.2014	6	7	7	7	7	6	6	5	6	5	5	5	4	5	6	7	8	8	9	9	10	9	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28.04.2014	8	8	8	8	9	9	7	7	8	8	9	10	10	9	9	10	10	10	10	6	8	9	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
29.04.2014	8	7	5	6	6	6	3	3	3	3	3	3	2	2	3	3	3	3	4	1	0	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
30.04.2014	1	1	4	6	7	6	3	3	3	3	4	4	5	6	6	6	5	5	5	8	4	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
01.05.2014	0	0	1	1	1	2	2	3	5	7	8	8	9	9	10	10	14	18	14	13	14	14	13	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.1	0.6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
02.05.2014	12	11	12	12	12	10	8	11	11	12	11	10	8	10	11	11	10	9	11	10	11	11	10	10	-1	-1	-1	-1	-1	-1	0.6	-1	-1	0.2	0.7	1.6	1.9	0.4	0.3	0.2	0.1	0.1	0.2	0.2	0.2	-1	-1	-1	
03.05.2014	11	10	10	10	9	9	9	9	8	8	9	9	9	8	7	7	7	6	5	7	4	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
04.05.2014	1	1	3	6	8	9	7	6	9	10	10	11	11	11	11	10	10	10	9	8	6	5	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
05.05.2014	0	1	0	0	0	0	1	3	4	5	6	6	6	6	6	6	5	5	5	3	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.05.2014	4	3	6	7	8	7	7	7	8	9	11	11	11	10	11	12	12	11	12	12	12	12	12	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
07.05.2014	11	10	10	10	10	11	11	8	10	11	12	12	13	11	13	14	13	10	9	10	8	8	8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.4	2.6	2.8	2.8	1.6	-1	-1	-1	0.1	-1	-1	-1	-1	
08.05.2014	7	6	4	6	7	6	6	6	8	9	11	11	11	11	11	12	12	13	12	8	6	7	7	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.9	0.9	0.9	-1	-1	-1	-1	-1	-1	-1	-1	
09.05.2014	6	6	9	11	13	14	14	11	12	13	12	14	15	13	14	14	14	14	11	10	7	8	11	13	0.2	0.2	0.2	0.2	0.3	0.2	0.6	-1	-1	-1	0.1	-1	-1	0.9	-1	-1	0.6	0.2	-1	-1	0.9	4.8	4.4	1	
10.05.2014	13	7	10	13	13	12	12	12	12	11	12	12	11	11	10	9	8	8	8	5	9	10	13	11	-1	-1	-1	0.3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
11.05.2014	12	10	11	11	12	11	13	11	13	16	17	17	15	15	12	13	13	12	11	9	9	9	10	10	-1	0.7	0.8	0.4	0.2	1.8	-1	0.1	1.5	0.9	0.7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12.05.2014	9	7	8	9	9	8	8	8	9	10	11	12	12	9	11	12	12	11	11	9	9	8	8	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.3	0.5	0.9	-1	-1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	
13.05.2014	9	7	7	9	10	10	10	8	9	10	11	10	10	9	9	9	10	9	9	8	6	7	7	7	0.3	-1	-1	-1	0.3	0.2	-1	-1	-1	0.3	0.8	0.6	0.1	0.3	-1	-1	-1	-1	-1	0.4	-1	-1	-1	-1	
14.05.2014	7	3	4	5	5	6	6	5	6	7	7	7	7	6	5	5	5	6	7	5	5	7	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
15.05.2014	7	5	5	5	5	6	6	7	9	10	12	12	12	10	14	15	16	16	16	13	16	16	16	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
16.05.2014	16	15	16	16	16	16	16	15	16	16	18	18	17	14	15	14	14	14	14	12	14	13	13	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
17.05.2014	12	11	11	10	9	9	8	9	12	13	15	16	15	13	14	12	13	12	10	11	11	9	8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	0.2	-1	0.8	1.5	0.8	-1	-1	0.1	-1	-1	-1	-1	
18.05.2014	7	5	2	3	4	1	2	1	4	5	8	9	9	9	10	10	10	10	10	8	10	10	10	9	-1	-1	-1	0.6	1.1	-1	0.5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
19.05.2014	10	8	8	8	9	9	8	8	10	11	12	12	11	10	10	10	10	9	8	8	8	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
20.05.2014	8	6	6	6	7	5	4	4	4	5	7	7	7	5	5	5	5	4	4	4	9	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
21.05.2014	8	6	4	4	6	5	4	4	5	6	7	9	9	7	9	10	10	10	9	10	11	11	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
22.05.2014	10	11	10	11	11	11	10	10	11	12	13	15	15	13	14	14	14	12	13	13	14	13	13	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
23.05.2014	13	11	12	12	12	12	11	10	12	13	14	16	16	13	13	13	12	10	10	12	14	13	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
24.05.2014	11	3	3	5	7	6	6	3	2	1	2	3	4	2	4	4	4	3	3	3	1	1	2	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.4	0.2	-1	-1	-1	-1	1	1	
25.05.2014	7	4	6	7	7	7	6	6	5	5	5	6	6	6	6	6	6	6	6	7	8	8	8	7	0.7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
26.05.2014	7	6	6	6	6	4	4	5	7	7	9	9	9	8	10	10	11	11	11	12	14	13	12	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
27.05.2014	12	11	11	11	12	11	11	9	11	12	13	13	13	13	16	18	19	18	17	16	15	16	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.4	0.3	0.1	2.8	2.6	0.3	-1	-1	-1	-1	0.1	0.7	0.5	
28.05.2014	15	14	15	15	15	16	17	15	13	12	12	12	13	10	10	12	13	14	14	12	14	14	13	12	0.7	-1	-1	-1	-1	-1	-1	-1	0.8	1.7	1.2	0.7	0.6	0.5	0.3	0.5	0.1	-1	-1	0.1	-1	-1	0.4	0.8	
29.05.2014	13	11	12	12	12	10	10	9	9	8	8	9	10	7	9	9	10	11	10	8	9	8	9	8	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
30.05.2014	8	7	6	6	7	4	5	4	4	4	5	7	7	6	6	7	7	8	7	4	2	2	3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31.05.2014	8	5	7	7	7	5	5	6	6	6	6	5	5	4	5	6	6	7	8	9	9	8	8	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
01.06.2014	8	6	3	2	3	3	2	3	3	6	6	6	7	7	8	8	8	8	9	9	9	9	10	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
02.06.2014	9	9	9	9	9	8	9	8	7	7	8	9	10	9	9	8	7	7	8	7	8	9	9	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
03.06.2014	8	7	6	6	6	5	4	6	6	6	6	6	7	5	5	5	5	5	5	5	1	1	1	1	-1	0.4	0.6	0.5	0.7	0.5	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
04.06.2014	1	1	0	0	1	2	4	4	5	6	7	8	8	4	4	6	6	7	6	3	4	3	5	7	-1	-1	0.1	0.2	0.1	0.2	0.1	0.3	0.2	0.7	1	0.7	-1	-1	-1	-1	-1	-1	-1	-1	0.2	-1	-1	-1	
05.06.2014	7	6	6	5	5	6	5	6	7	8	9	9	9	8	6	7	10	11	11	7	6	4	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.1	5	3.2	0.8	-1	-1	-1	-1	-1	
06.06.2014	2	1	1	1	1	1	2	1	2	3	4	4	4	3	2	2	2	2	2	4	9	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
07.06.2014	8	7	7	7	7	6	6	7	9	10	12	12	12	10	10	11	10	10	10	10	11	11	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
08.06.2014	10	9	8	8	7	4	3	2	2	2	2	1	2	5	3	2	1	1	2	5	8	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
09.06.2014	7	4	2	6	7	4	5	2	4	4	6	7	7	6	6	6	6	6	6	8	8	8	8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
10.06.2014	7	6	5	6	7	5	5	6	6	6	6	6	5	1	3	4	4	4	5	2	5	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
11.06.2014	9	7	7	8	8	7	6	6	5	5	6	5	5	3	3	3	6	7	7	2	2	2	3	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12.06.2014	12	9	8	8	8	9	9	9	10	9	11	12	12	11	12	13	13	12	12	10	10	9	8	8	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13.06.2014	8	8	8	9	9	9	10	10	13	14	15	16	16	15	15	15	15	14	12	12	11	11	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.5	-1	-1	-1	-1	-1	-1	-1	-1	-1	
14.06.2014	10	10	8	8	7	6	8	7	8	8	10	10	10	11	12	13	13	12	12	11	11	11	10	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	1.5	0.4	-1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
15.06.2014	10	8	9	8	8	8	7	9	9	9	9	9	8	8	7	7	7	8	8	8	9	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
16.06.2014	7	6	3	2	2	1	1	2	2	1	0	0	1	2	3	3	3	3	3	2	4	5	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
17.06.2014	7	7	6	6	6	3	2	5	3	3	3	2	3	4	6	6	6	7	7	6	9	9	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
18.06.2014	6	5	1	0	0	1	2	1	3	4	5	7	8	5	7	7	8	8	7	7	2	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
19.06.2014	1	0	1	2	3	4	6	7	11	13	13	14	14	11	13	13	13	12	15	11	13	14	14	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
20.06.2014	14	13	14	14	14	14	13	13	13	13	12	11	11	11	11	13	13	12	13	11	11	10	9	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.8	1	1.4	1.7	1.6	1.1	0.5	0.1	-1	-1	-1	-1	-1	
21.06.2014	9	8	8	9	10	8	7	8	8	8	8	11	14	12	13	12	13	14	13	11	12	14	14	14	-1	0.3	0.7	0.8	0.8	0.1	0.2	0.6	0.6	0.4	0.9	1.7	1.5	-1	-1	-1	0.2	0.3	0.1	-1	0.1	-1	-1	-1	
22.06.2014	14	13	12	12	12	13	13	9	12	13	14	14	15	13	12	12	11	12	12	8	9	8	9	10	-1	-1	-1	-1	-1	-1	-1	0.1	-1	0.4	0.1	-1	-1	0.6	0.3	-1	-1	-1	-1	-1	-1	-1	-1	-1	
23.06.2014	11	9	11	11	11	10	10	9	11	12	12	12	13	10	11	11	10	10	10	9	8	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
24.06.2014	9	6	6	7	7	6	6	6	7	8	8	8	7	8	6	5	5	5	4	5	3	2	5	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	-1	-1	-1	
25.06.2014	9	6	6	7	7	5	6	7	7	7	7	8	8	7	7	9	9	10	9	5	9	11	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.5	0.1	-1	-1	-1	
26.06.2014	10	9	8	8	8	6	7	7	7	6	6	6	5	4	4	4	3	3	2	4	4	3	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
27.06.2014	2	3	2	2	2	1	1	4	2	3	4	5	4	2	4	5	7	7	7	6	5	7	7	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.4	0.5	-1	-1	-1	-1	-1	-1	-1	-1	
28.06.2014	9	7	7	9	9	9	8	7	7	7	8	10	11	7	9	9	8	8	7	1	5	5	6	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.3	0.8	3.2	2.3	1.2	-1	-1	1.2	0.1	-1	-1	0.3	
